question_id,difficulty,type,domain,deepseek-v3.2,glm-4.6,MiniMax-M2,router,local,drift,drift_llm,reasoning
1,L3,Global Summary,Process,0.9464991684566437,0.9100928641888618,0.9330135761902734,0.9504539836848822,0.9534574907467668,0.6632080318636824,0.9474459229399336,0.6744482989841093
2,L3,Global Summary,Structure,0.49196191890952046,0.4894310681942555,0.4521223821551149,0.34858954436160694,0.33,0.0,0.7824055684659348,0.0
3,L2,Reasoning,Property,1.0,1.0,1.0,0.0,0.804483521073084,0.0,0.675,0.0
4,L2,Reasoning,Process,1.0,1.0,1.0,0.40623691365837516,0.21,1.0,0.9209538938481435,0.0
5,L2,Reasoning,Comparison,1.0,1.0,1.0,0.0,0.0,0.0,0.325,0.0
6,L2,Reasoning,Structure,0.9630865485009517,1.0,1.0,0.0,0.9063858684586424,0.97,0.8772499553521997,0.0
7,L1,Fact Retrieval,Property,0.8697035665789389,0.465,0.405,0.0,0.37,0.3,0.9424345952509555,0.0
8,L1,Fact Retrieval,Property,0.725,0.9099325192085066,0.4913384756708134,0.0,1.0,0.64,1.0,0.0
9,L3,Global Summary,Process,0.765,0.7017040005756489,0.7466527180080875,0.0,0.71,0.585,0.6793555491595368,0.0
10,L2,Reasoning,Process,1.0,0.7943670476249749,0.7284904350825931,0.0,0.7318289278336212,0.0,0.63,0.0
11,L2,Reasoning,Structure,1.0,0.7198411998851244,0.36000000000000004,0.0,0.9532217977658233,0.3,0.72,0.0
12,L2,Numerical,Property,0.8236494544778353,0.5133497915919427,0.576180993167275,0.236254773152244,0.6233676455770164,0.027454692571799645,0.8350387961829399,0.34629349583542435
13,L2,Numerical,Application,0.9546670686982784,0.6175880118809653,0.6020016025448092,0.0533869592958388,0.9009806983094967,0.035850219131526195,0.8910282506927036,0.31616249692897724
14,L1,Numerical,Application,0.9342846242090767,0.5247050417515475,0.5632664207940619,0.04338717591423663,0.9522518245973259,0.8607624165779613,0.9324074329267331,0.2779662720311087
15,L2,Numerical,Design,0.9290699395995906,0.5575579382334548,0.5502745053828331,0.05202513985928382,0.8132036036492208,0.7433924970846463,0.830959014866791,0.30070485398301416
16,L2,Numerical,Comparison,0.9541048358662543,0.4708175209011326,0.5218240185078247,0.04523085631032343,0.8526093142235805,0.03075856354951514,0.8991775630532702,0.29684139436579166
17,L3,Global Summary,Structure,0.55290771815913,0.4610297433955102,0.8243848967220987,0.06465961566714669,0.9488295210527883,0.9515554675257436,0.9414613967076152,0.28821279315406834
18,L3,Global Summary,Process,0.5081536924564278,0.4832703499570886,0.5990152683880527,0.05239606155222988,0.9476560970244078,0.9595333162793517,0.6176333164155804,0.37014797915005215
19,L3,Global Summary,Composition,0.54610517869297,0.563523565865044,0.6412866645116078,0.058112169467867084,0.9342919037482253,0.03544113358432082,0.8794967438777298,0.3075690011394626
20,L3,Global Summary,Property,0.5830512804356692,0.5675744848738529,0.7051711777182099,0.6329940999390189,0.5602421466741101,0.6523903803636355,0.6149860976482548,0.1928362976947856
21,L3,Design/Discovery,Design/Discovery,0.4699870121196997,0.4461400410141446,0.5938684850247672,0.04216674531680861,0.908171252610133,0.7044556739123761,0.46511378970983236,0.32189932218670575
